,gene_pair,gene_1,gene_2,study_origin,cell_line_origin,GEMINI_SCORE_SL_score_SensitiveLethality,GEMINI_SCORE_SL_score_SensitiveRecovery,GEMINI_SCORE_SL_score_Strong,HORLBECK_SCORE_SL_score,HORLBECK_SCORE_standard_error,MAGECK_SCORE_SL_score,MAGECK_SCORE_Z_SL_score,MAGECK_SCORE_standard_error,MEDIAN_B_SCORE_SL_score,MEDIAN_B_SCORE_Z_SL_score,MEDIAN_B_SCORE_standard_error,MEDIAN_NB_SCORE_SL_score,MEDIAN_NB_SCORE_Z_SL_score,MEDIAN_NB_SCORE_standard_error,SGRA_DERIVED_B_SCORE_SL_score,SGRA_DERIVED_NB_SCORE_SL_score
344,CTNNB1|MYC,CTNNB1,MYC,36060092,22RV1,-0.132210384403389,,-0.132210384403389,-0.03635994517538524,0.20760786234580614,,,,-0.004321723347820328,-0.07624821392483691,0.05667966664872369,0.03559687387470101,0.628036048541273,0.05667966664872369,-0.21853903153762916,0.6037231883017085
345,CTNNB1|NRAS,CTNNB1,NRAS,36060092,22RV1,-0.157961884903247,,-0.157961884903247,0.09603096589227654,0.16748230501903444,,,,0.002098892430037136,0.04553064136086712,0.04609845957147227,0.04201748965255847,0.9114727486156768,0.04609845957147225,-0.3771287380569682,0.40990427535562673
346,CTNNB1|NXF2,CTNNB1,NXF2,36060092,22RV1,-0.229481360377804,,-0.229481360377804,0.7376508071311649,0.1782393267976467,,,,0.04611277751284959,0.7490886033527346,0.06155850897538721,0.08603137473537092,1.3975545569137913,0.06155850897538721,1.5704525366101643,2.17587747462019
347,CTNNB1|NXF2B,CTNNB1,NXF2B,36060092,22RV1,-0.128700751317172,,-0.128700751317172,-0.18756726454714653,0.17384444158595624,,,,-0.06668440432790268,-1.4203759159404123,0.04694841948495854,-0.026765807105381345,-0.5701109302296459,0.04694841948495854,-1.2154338057586884,-0.7640365680480711
348,CTNNB1|PARP1,CTNNB1,PARP1,36060092,22RV1,-0.134791432671485,,-0.134791432671485,0.17874733048677133,0.15757523731557962,,,,-0.015412056101077543,-0.27231916072044965,0.05659556257555763,0.024506541121443792,0.4330117063281499,0.05659556257555763,-0.11650344802118667,0.5461117882087468
349,CTNNB1|PIK3CA,CTNNB1,PIK3CA,36060092,22RV1,-0.148289282180272,,-0.148289282180272,0.10921388251763743,0.15197709243989113,,,,0.039292456337907566,0.5894147113457132,0.06666351480810107,0.0792110535604289,1.188221980020817,0.06666351480810107,0.5569657874552483,1.2301903143729616
350,CTNNB1|PLD1,CTNNB1,PLD1,36060092,22RV1,-0.180255715040955,,-0.180255715040955,0.26888904083725085,0.16264432927051567,,,,-0.02665089480250682,-0.6208139249567988,0.04292895782639122,0.013267702420014515,0.30906183359191625,0.04292895782639122,-0.6282207984916623,0.24564194490679958
351,CTNNB1|PLK1,CTNNB1,PLK1,36060092,22RV1,,0.114311389535741,-0.114311389535741,0.32128701034156526,0.1227307128120177,,,,0.08889595945939321,0.9203723987815126,0.09658694630247842,0.12881455668191455,1.3336642435977828,0.09658694630247842,0.9192945593816411,1.3226922730650386
352,CTNNB1|POLD1,CTNNB1,POLD1,36060092,22RV1,-0.188846676015199,,-0.188846676015199,0.23839831780540596,0.13192250877433948,,,,-0.0038758559862461794,-0.04007207778097414,0.09672211177645501,0.036042741236275155,0.37264220739490733,0.09672211177645501,-0.8205007766148757,-0.33316248311129787
353,CTNNB1|PSMB2,CTNNB1,PSMB2,36060092,22RV1,,0.158087496876073,-0.158087496876073,0.28708688128742055,0.13316445249132638,,,,0.0762260937353596,0.779210302150442,0.09782480227095694,0.11614469095788094,1.187272432569618,0.09782480227095694,1.2261009614412115,1.574740400656517
354,CTNNB1|PSMB5,CTNNB1,PSMB5,36060092,22RV1,,0.0939922764441525,-0.0939922764441525,-0.4717131322875248,0.14118468927582356,,,,0.03838189483554588,0.30032374582881066,0.12780173185980498,0.07830049205806722,0.6126716040433687,0.12780173185980498,-0.7635079900569277,0.025596649363516633
355,CTNNB1|RHEB,CTNNB1,RHEB,36060092,22RV1,-0.185807103604907,,-0.185807103604907,0.11748447782492306,0.1572212299314236,,,,0.017785127033117742,0.27577411198272267,0.06449164827419329,0.05770372425563908,0.8947472393681952,0.06449164827419329,-0.010590911191458385,0.4095548498737855
356,CTNNB1|TGFBR2,CTNNB1,TGFBR2,36060092,22RV1,-0.186232821688558,,-0.186232821688558,0.4588999502431773,0.1398357648274768,,,,0.03360950455000733,0.7935481684731447,0.04235345236153077,0.07352810177252866,1.7360592271177762,0.04235345236153077,0.31578957930342666,1.2142968106040033
357,CTNNB1|TOP2A,CTNNB1,TOP2A,36060092,22RV1,-0.145579568776924,,-0.145579568776924,-0.05264337335814315,0.17965728420737193,,,,-0.03478454806274245,-0.559214596998337,0.06220250374266588,0.005134049159778886,0.08253766087967523,0.06220250374266588,-0.9564293756053291,-0.36354003800438894
358,CTNNB1|TRIB2,CTNNB1,TRIB2,36060092,22RV1,-0.134142128879178,,-0.134142128879178,-0.2852294331170815,0.20779661249660825,,,,-0.05046933139143661,-0.9734440181591131,0.051846156995118756,-0.010550734168915277,-0.2035007950523433,0.051846156995118756,-1.4602310152943974,-0.826511321057259
359,CTNNB1|TRIM25,CTNNB1,TRIM25,36060092,22RV1,-0.125853428385131,,-0.12585342838513,-0.06768819603876014,0.1549819725993116,,,,-0.07165715911677584,-1.8023123714850364,0.03975845710792801,-0.0317385618942545,-0.7982845463066446,0.03975845710792801,-0.6359258154019592,0.010349041395555203
360,CTNNB1|ULK1,CTNNB1,ULK1,36060092,22RV1,-0.184712082853262,,-0.184712082853262,0.48861168443380276,0.18598993372033618,,,,0.04023238652467587,0.8281479749351414,0.04858115668015342,0.0801509837471972,1.6498368755378117,0.04858115668015342,0.7432490415570284,1.2437576003970325
361,CTNNB1|UPF2,CTNNB1,UPF2,36060092,22RV1,-0.167596831853504,,-0.167596831853504,-0.3300090023727919,0.2649136175491804,,,,0.0210359127674975,0.2766049095905307,0.07605039548516258,0.060954509990018835,0.8015015517165989,0.07605039548516258,-0.8058394984932069,-0.36411761736508186
