"","Strong","SensitiveLethality","SensitiveRecovery"
"GART;MAPK8",-0.0525036117126886,-0.0525036117126886,NA
"GART;MTOR",-0.044343946919753,NA,-0.0281146737025355
"GART;MYC",0.0311194827562928,0.0311194827562928,NA
"GART;NRAS",0.0136628040553387,0.0136628040553387,NA
"GART;NXF2",-0.114881245176987,-0.114881245176987,NA
"GART;NXF2B",-0.0821938956685342,-0.0821938956685342,NA
"GART;PARP1",0.00383150400250432,0.0038315040025043,NA
"GART;PIK3CA",0.0127405178857947,0.0127405178857947,NA
"GART;PLD1",-0.142221733967932,-0.142221733967932,NA
"GART;PLK1",-0.144128813655755,NA,-0.00244425839934037
"GART;POLD1",-0.0357447611643944,-0.0357447611643944,NA
"GART;PSMB2",-0.0681993469265131,NA,-0.0122284068057862
"GART;PSMB5",-0.00861552247728312,NA,0.00161726447192545
"GART;RHEB",-0.0205710165647482,-0.0205710165647482,NA
"GART;TGFBR2",-0.0681281034297912,-0.0681281034297912,NA
"GART;TOP2A",-0.0015679626364643,-0.00156796263646432,NA
"GART;TRIB2",-0.0895052783066794,-0.0895052783066794,NA
"GART;TRIM25",-0.0923832335224186,-0.0923832335224186,NA
"GART;ULK1",0.00556840045169929,0.00556840045169932,NA
"GART;UPF2",-0.0099888881612672,-0.00998888816126722,NA
"GART;UPF3A",-0.0159814747505658,-0.0159814747505658,NA
"GART;WNT5A",-0.0557828690807253,-0.0557828690807253,NA
"GRB2;HDAC1",-0.0569062331136548,-0.0569062331136548,NA
"GRB2;HPRT1",-0.0239051580289932,-0.0239051580289932,NA
"GRB2;HSP90AA1",0.0197085942536077,0.0197085942536077,NA
"GRB2;HSP90B1",-0.009748009112406,-0.00974800911240601,NA
"GRB2;IGF1R",0.0717247052356082,0.0717247052356082,NA
"GRB2;IGFBP5",-0.0771843963819694,-0.0771843963819694,NA
"GRB2;INSR",-0.0373085596498325,-0.0373085596498325,NA
"GRB2;IRS1",-0.0932102134444044,-0.0932102134444044,NA
"GRB2;JUN",-0.134234609146803,-0.134234609146804,NA
"GRB2;LIMK1",-0.0517436591680442,-0.0517436591680442,NA
"GRB2;MAP2K1",0.0126342755046655,0.0126342755046655,NA
"GRB2;MAP3K1",-0.0618629744083991,-0.0618629744083991,NA
"GRB2;MAPK1",-0.00108099444304244,-0.00108099444304244,NA
"GRB2;MAPK13",-0.0321539183741316,-0.0321539183741316,NA
"GRB2;MAPK3",0.0203145373923036,0.0203145373923036,NA
"GRB2;MAPK8",-0.0898588442025026,-0.0898588442025026,NA
"GRB2;MTOR",-0.0121713561140017,NA,-0.0429605617542213
"GRB2;MYC",-0.00430319683770805,-0.00430319683770805,NA
"GRB2;NRAS",0.0503940360934428,0.0503940360934428,NA
"GRB2;NXF2",-0.0654099928903295,-0.0654099928903295,NA
"GRB2;NXF2B",-0.0863159865669927,-0.0863159865669927,NA
"GRB2;PARP1",-0.0079669208960331,-0.00796692089603308,NA
"GRB2;PIK3CA",0.00060964665479224,0.000609646654792267,NA
"GRB2;PLD1",-0.0753474695941161,-0.0753474695941161,NA
"GRB2;PLK1",-0.0812364793026136,NA,-0.0480098899984157
"GRB2;POLD1",-0.0370893287172163,-0.0370893287172162,NA
"GRB2;PSMB2",-0.0208787368344562,NA,-0.0422223141437775
"GRB2;PSMB5",0.0478414472800721,NA,-0.0478414472800721
"GRB2;RHEB",-0.0262037174295484,-0.0262037174295484,NA
"GRB2;TGFBR2",-0.058417244002348,-0.058417244002348,NA
"GRB2;TOP2A",0.00929153595848178,0.0092915359584818,NA
"GRB2;TRIB2",-0.0949977429075214,-0.0949977429075214,NA
"GRB2;TRIM25",-0.0333600981421324,-0.0333600981421325,NA
"GRB2;ULK1",0.0176360468769791,0.0176360468769791,NA
"GRB2;UPF2",-0.0369256633944047,-0.0369256633944046,NA
"GRB2;UPF3A",-0.00180743499569075,-0.00180743499569075,NA
"GRB2;WNT5A",-0.0157842914906124,-0.0157842914906125,NA
"HDAC1;HPRT1",-0.127221352808123,-0.127221352808123,NA
"HDAC1;HSP90AA1",-0.0724099829470542,-0.0724099829470542,NA
"HDAC1;HSP90B1",-0.0762137055046573,-0.0762137055046573,NA
"HDAC1;IGF1R",-0.0230140377602132,-0.0230140377602132,NA
"HDAC1;IGFBP5",-0.0637684124213812,-0.0637684124213812,NA
"HDAC1;INSR",-0.103158699386106,-0.103158699386106,NA
"HDAC1;IRS1",-0.0226823758291179,-0.0226823758291179,NA
"HDAC1;JUN",-0.0821601482222304,-0.0821601482222304,NA
"HDAC1;LIMK1",0.00374150130170564,0.00374150130170564,NA
"HDAC1;MAP2K1",-0.0253514254859346,-0.0253514254859346,NA
"HDAC1;MAP3K1",-0.0907688134604821,-0.0907688134604821,NA
"HDAC1;MAPK1",-0.0549746724065773,-0.0549746724065773,NA
